GTP	GTD	EX1	colles	DM1	DM2et3	quizz	partiel	EvalTP	CC1	CC2	Sexe
1	1	1	17	16,25	9,5	0	5,5	10	8,2	11	1
1	1	1	18	11,875	8	2,5	17	10	15,7	12	1
1	2	1	17	13,75	9	5	5	10	7,2	11	1
1	2	1	17	20	17,5	15	18,5	10	18,9	13	1
1	1	1	20	17,5	18	10	20	10	19,4	15	2
1	1	1	18	16,25	15	0	15,5	10	15,7	13	1
1	1	0	20	18,75	7	2,5	6,5	10	9,6	12	2
1	1	1	20	17,5	18,5	15	19	10	18,6	15	2
2	1	1	20	20	17	20	17	10	17,8	14	1
1	1	0	20	16,25	9	0	4,5	10	7,4	12	2
1	1	1	19	20	13	20	12,5	10	14,4	13	2
1	1	0	20	12,5	14,5	20	15,5	10	15,1	14	2
1	2	1	18	8,5	17	0	16	10	13,9	14	1
1	1	1	20	20	14,5	10	19,5	10	19,6	14	2
1	1	0	10	7,5	0	0	0	10	1,9	10	1
1	1	0	18	11,25	15	0	8,5	10	9,2	13	2
1	1	0	19	17,5	9	0	10	10	11,9	12	1
1	1	0	18	9	11,5	5	4	10	5,5	12	2
1	1	0	15	16,25	16	0	12,5	10	13,4	12	2
1	1	0	20	16,25	13	2,5	13,5	10	14,2	13	2
1	1	0	18	16,25	12	12,5	3,5	10	6,7	12	2
1	1	1	19	15	9,5	20	10,5	10	11,9	12	2
1	1	0	16	15	13,5	0	6,5	10	8,6	12	2
1	2	0	17	15	13,5	2,5	8	10	9,8	12	1
2	1	0	19,4	13,75	19	15	12,5	10	12,9	15	2
2	2	0	18,4	18,75	18	12,5	13,5	10	14,8	14	1
2	2	1	20	18,75	15	7,5	17	10	17,4	14	2
1	2	0	20	18,75	11	7,5	2,5	10	6,6	13	2
2	2	1	14	17,5	11,5	0	3	10	7	11	1
2	1	0	17	16	0	0	4	10	6,4	10	2
1	2	0	18,4	14	17	10	12	10	12,8	14	2
2	2	1	18,4	15	15,5	7,5	16,5	10	16,1	13	2
2	2	1	18,4	18,75	9,5	15	8,5	10	11,1	12	1
2	1	0	19,4	8,75	12,5	5	6,5	10	7,1	13	2
2	2	1	19,4	20	17,5	15	16	10	17	14	2
2	1	0	20	11,25	11	0	4,5	10	6,2	13	2
2	1	0	19	16,25	11,5	12,5	0	10	4,1	12	2
2	1	1	19,4	15	15	0	17,5	10	16,9	14	2
2	1	0	17,4	15	11	17,5	13	10	13,6	12	2
2	2	1	19,4	20	17,5	17,5	19	10	19,3	14	2
1	2	0	18	12,5	13	20	14	10	14	13	2
2	2	1	20	17,5	10	5	8	10	9,6	12	2
2	2	1	19,4	18,75	13	2,5	17,5	10	17,8	13	1
2	2	0	19,4	16,25	14	20	14	10	14,8	14	2
2	2	1	20	13,75	18	7,5	19,5	10	18,1	15	2
3	2	0	20	15	10,5	10	8	10	9,8	13	1
3	2	1	19	18,75	14	0	9,5	10	11,8	14	1
3	2	1	18	12,5	11,5	0	5,5	10	7,3	12	1
3	2	1	20	17,5	17	15	11	10	12,6	14	1
3	2	1	19	15	12	5	10	10	11,3	13	1
3	2	1	19	15	12	0	18,5	10	17,6	13	1
3	2	1	19	18,75	10	5	13	10	14,4	13	1
3	2	1	19	15	11,5	20	16,5	10	16,4	13	1
3	2	1	19	20	15	12,5	11	10	13,3	14	1
3	2	1	19	18,75	14,5	7,5	4	10	7,7	14	1
3	2	1	0	0	0	0	4,5	10	3,4	5	1
3	2	0	19	17,5	12	17,5	17,5	10	17,5	13	1
3	2	1	20	15	14	5	14,5	10	14,6	14	1
3	2	1	9	16,25	4	0	5,5	10	8,2	11	1
3	2	1	18	11,25	18	0	18	10	16,3	14	1
